feature,coefficient
entry_0,-0.45156944419013806
remi,0.41954075568480104
model_1,0.36142477440230214
entry_1,0.34656568471052357
w3,0.33748063533756845
domain_10,-0.3207598104993034
model_2,-0.3086683174197068
newsletter_0,-0.27296947333532734
shippingcosts_1,-0.25438947317336374
domain_6,0.24844200809436617
w5,0.21349000426560036
salutation_2,-0.1978057082910823
domain_3,-0.18803774554076177
voucher_1,-0.17754901050949132
newsletter_1,0.16796571385561843
used,0.16479725163470438
model_3,-0.15776021646220303
w10,-0.15745332250117552
domain_7,-0.15561929242999206
shippingcosts_0,0.14938571369334866
domain_8,0.1418878447636764
deliverytype_0,-0.14065343370589461
domain_1,0.14040488214254535
w4,-0.11868717584305886
domain_12,0.10327181461857922
title_0,-0.09915609412372078
has_ad_code,0.09798919860204229
cancel,-0.09651553112640457
paymenttype_3,-0.07829952587329535
voucher_0,0.07254525102941818
paymenttype_2,-0.05797933559102769
gift_1,-0.054741543519795856
domain_2,-0.05330004199721727
domain_0,-0.05315600383855182
salutation_1,0.05285890329887533
product_diversity,0.052813005051101924
w9,0.05144514058684553
gift_0,-0.050262215960718906
w6,0.05022963254504234
salutation_0,0.03994304551300558
domain_9,0.03640991563878384
paymenttype_1,0.03564967422539088
deliverytype_1,0.03564967422539088
w7,-0.03159003100295985
numberitems,0.02614707964770937
w1,0.022562164968333683
promised_delivery_month,0.02200902188477209
w8,0.02064880354712517
case,-0.017479155693214798
domain_4,-0.014382980317458913
domain_5,0.007146773066532493
w2,0.00616258455042096
title_1,-0.005847665356727369
w0,0.004455320177214871
paymenttype_0,-0.00437457224156341
promised_delivery_weekday,-0.003419077039208253
domain_11,0.002688876819224758
order_weekday,-0.0023259222426266946
order_month,-0.0020656824740064588
account_age_days,0.0011825210234409462
delivery_difference,0.00017812711864099954
weight,3.6184424083824465e-05
